PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK
202695,Kawhi Leonard,Kawhi,1610612746,LAC,33.0,68,44,24,0.647,34.3,0.711,0.289,0.583,0.138,0.26,0.123,0.157,0.161,0.445,0.451,0.549,0.657,0.343,0.498,0.502,610,1162,0.525,148,72,282,103,33,157,412,196,66,357,296,203,198,269,413,141,460,38,476,85,22,32,109
201142,Kevin Durant,Kevin,1610612756,PHX,35.0,75,44,31,0.587,37.2,0.717,0.283,0.574,0.247,0.248,0.127,0.178,0.138,0.327,0.511,0.489,0.815,0.185,0.579,0.421,751,1436,0.523,76,72,406,195,5,150,419,206,15,373,276,143,309,405,353,201,393,105,403,158,6,8,112
204001,Kristaps Porzingis,Kristaps,1610612738,BOS,28.0,57,43,14,0.754,29.6,0.61,0.39,0.486,0.056,0.288,0.06,0.226,0.089,0.43,0.716,0.284,0.991,0.009,0.794,0.206,388,752,0.516,241,79,162,33,103,258,311,307,227,335,453,55,492,286,157,397,172,326,171,390,85,104,117
202681,Kyrie Irving,Kyrie,1610612742,DAL,32.0,58,39,19,0.672,35.0,0.628,0.372,0.523,0.152,0.349,0.143,0.128,0.126,0.371,0.375,0.625,0.653,0.347,0.461,0.539,562,1131,0.497,232,117,226,74,23,243,326,262,50,274,234,286,372,349,469,85,462,36,494,67,28,35,157
1630163,LaMelo Ball,LaMelo,1610612766,CHA,22.0,22,7,15,0.318,32.3,0.534,0.466,0.43,0.015,0.399,0.095,0.171,0.146,0.414,0.159,0.841,0.586,0.414,0.322,0.678,183,423,0.433,427,440,168,447,69,343,226,371,400,227,376,160,273,308,537,17,476,22,544,17,221,206,363
1628374,Lauri Markkanen,Lauri,1610612762,UTA,27.0,55,22,33,0.4,33.1,0.507,0.493,0.394,0.039,0.411,0.085,0.195,0.11,0.355,0.742,0.258,0.983,0.017,0.841,0.159,427,890,0.48,258,276,437,385,55,372,197,409,282,211,404,95,447,374,119,435,189,309,104,457,68,70,197
2544,LeBron James,LeBron,1610612747,LAL,39.0,71,41,30,0.577,35.3,0.714,0.286,0.588,0.059,0.245,0.199,0.167,0.145,0.529,0.435,0.565,0.685,0.315,0.489,0.511,685,1269,0.54,118,97,395,215,20,154,415,191,214,375,84,174,279,185,423,131,447,51,480,81,10,22,86
1629652,Luguentz Dort,Luguentz,1610612760,OKC,25.0,79,54,25,0.684,28.4,0.397,0.603,0.307,0.037,0.544,0.147,0.149,0.173,0.27,0.636,0.364,0.994,0.006,0.83,0.17,288,657,0.438,30,18,311,67,123,462,107,484,291,115,221,230,136,459,243,309,170,328,118,443,148,129,341
1629029,Luka Doncic,Luka,1610612742,DAL,25.0,70,46,24,0.657,37.5,0.55,0.45,0.439,0.112,0.359,0.087,0.202,0.132,0.327,0.177,0.823,0.299,0.701,0.22,0.78,804,1652,0.487,128,52,282,92,3,321,248,363,97,263,398,85,345,406,534,20,496,2,551,10,3,1,178
1628969,Mikal Bridges,Mikal,1610612751,BKN,27.0,82,32,50,0.39,34.8,0.543,0.457,0.428,0.091,0.411,0.127,0.161,0.145,0.337,0.494,0.506,0.882,0.118,0.645,0.355,564,1294,0.436,2,183,544,397,27,333,236,375,135,210,280,190,281,390,383,171,347,151,357,204,26,18,349
